timestamp,round,token,context
2025-01-10T10:18:04.488891,1,"[TEXTBLOCK(TEXT='BTC\NETH\NFDUSD\NSOL\NPENGU', TYPE='TEXT')]",Round 1 discussion
2025-01-10T10:19:32.059726,2,"[TEXTBLOCK(TEXT='BTC\NETH\NSOL\NPENGU', TYPE='TEXT')]",Round 2 discussion
2025-01-10T10:20:58.800290,3,"[TEXTBLOCK(TEXT='BTC\NETH\NSOL\NPENGU', TYPE='TEXT')]",Round 3 discussion
2025-01-10T10:22:25.979932,4,"[TEXTBLOCK(TEXT='BTC\NETH\NSOL\NPENGU', TYPE='TEXT')]",Round 4 discussion
2025-01-10T10:28:10.815171,1,"[TEXTBLOCK(TEXT='HERE IS THE LIST OF ALL TOKEN SYMBOLS EXTRACTED FROM THE CONVERSATION:\N\N- BTC\N- ETH\N- ANDY\N- OM\N- COOKIE\N- CGPT\N- GRIFFAIN\N- ANON\N- VIRTUAL\N- AIXBT', TYPE='TEXT')]",Round 1 discussion
2025-01-25T07:59:36.255869,1,"[TEXTBLOCK(TEXT='NO CRYPTOCURRENCY TOKENS OR SYMBOLS WERE MENTIONED IN THE PROVIDED CONVERSATION.', TYPE='TEXT')]",Round 1 discussion
2025-01-27T12:58:18.957087,1,"[TEXTBLOCK(TEXT='HERE IS THE LIST OF ALL CRYPTOCURRENCY SYMBOLS AND TOKENS MENTIONED IN THE CONVERSATION:\N\N- BTC\N- ETH\N- SOL\N- TAO\N- XCN', TYPE='TEXT')]",Round 1 discussion
2025-12-01T19:09:52.754528,1,SOL,Round 1 discussion
2025-12-01T19:09:52.754528,1,BTC,Round 1 discussion
2025-12-01T19:09:52.754528,1,ETH,Round 1 discussion
2025-12-01T19:09:52.754528,1,TRUMP,Round 1 discussion
2025-12-01T19:09:52.754528,1,JLP,Round 1 discussion
2025-12-01T19:09:52.754528,1,BONK,Round 1 discussion
2025-12-01T19:09:52.754528,1,JUP,Round 1 discussion
2025-12-02T10:30:15.056812,1,- SOL,Round 1 discussion
2025-12-02T10:30:15.056812,1,- TRUMP,Round 1 discussion
2025-12-02T10:30:15.056812,1,- PIPPIN,Round 1 discussion
2025-12-02T10:30:15.056812,1,- BONK,Round 1 discussion
2025-12-02T10:30:15.056812,1,- JUP,Round 1 discussion
2025-12-02T10:30:15.056812,1,- ETH (IMPLICITLY MENTIONED AS PART OF THE SOLANA ECOSYSTEM),Round 1 discussion
2025-12-02T10:49:54.114638,1,- SOL,Round 1 discussion
2025-12-02T10:49:54.114638,1,- TRUMP,Round 1 discussion
2025-12-02T10:49:54.114638,1,- PIPPIN,Round 1 discussion
2025-12-02T10:49:54.114638,1,- USD1,Round 1 discussion
2025-12-02T10:49:54.114638,1,- JUP,Round 1 discussion
2025-12-03T10:00:08.717132,1,- BTC,Round 1 discussion
2025-12-03T10:00:08.717132,1,- JUP,Round 1 discussion
2025-12-03T10:00:08.717132,1,- PIPPIN,Round 1 discussion
2025-12-03T10:00:08.717132,1,- SOL,Round 1 discussion
2025-12-03T10:00:08.717132,1,- TRUMP,Round 1 discussion
2025-12-03T10:00:08.717132,1,- USDC,Round 1 discussion
2025-12-03T10:00:08.717132,1,- USDT,Round 1 discussion
2025-12-03T10:00:08.717132,1,- WETH,Round 1 discussion
2025-12-03T10:11:34.045545,1,- ETH,Round 1 discussion
2025-12-03T10:11:34.045545,1,- WETH,Round 1 discussion
2025-12-03T10:11:34.045545,1,- USDT,Round 1 discussion
2025-12-03T10:11:34.045545,1,- USDC,Round 1 discussion
2025-12-03T10:11:34.045545,1,- WBTC,Round 1 discussion
2025-12-03T10:11:34.045545,1,- USDS,Round 1 discussion
2025-12-03T10:11:34.045545,1,- PYUSD,Round 1 discussion
2025-12-03T10:17:00.863454,1,- BURNETH,Round 1 discussion
2025-12-03T10:17:00.863454,1,- ETH,Round 1 discussion
2025-12-03T10:17:00.863454,1,- GOLDEN,Round 1 discussion
2025-12-03T10:17:00.863454,1,- USDC,Round 1 discussion
2025-12-03T10:17:00.863454,1,- USDT,Round 1 discussion
2025-12-03T10:17:00.863454,1,- 7AΩ∞,Round 1 discussion
2025-12-03T10:17:00.863454,1,- WBTC,Round 1 discussion
2025-12-03T10:17:00.863454,1,- WETH,Round 1 discussion
2025-12-03T10:18:59.571081,1,- BURNETH,Round 1 discussion
2025-12-03T10:18:59.571081,1,- GOLDEN,Round 1 discussion
2025-12-03T10:18:59.571081,1,- USDC,Round 1 discussion
2025-12-03T10:18:59.571081,1,- USDT,Round 1 discussion
2025-12-03T10:18:59.571081,1,- WETH,Round 1 discussion
2025-12-03T10:20:33.734940,1,- SOL,Round 1 discussion
2025-12-03T10:20:33.734940,1,- USDC,Round 1 discussion
2025-12-03T10:20:33.734940,1,- USDT,Round 1 discussion
2025-12-03T10:20:33.734940,1,- WETH,Round 1 discussion
2025-12-03T10:20:33.734940,1,- CBBTC,Round 1 discussion
2025-12-03T10:23:29.784237,1,- SOL,Round 1 discussion
2025-12-03T10:23:29.784237,1,- USDT,Round 1 discussion
2025-12-03T10:23:29.784237,1,- USDC,Round 1 discussion
